City,Year,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny Theft,Motor/Vehicle Theft,Arson
Baytown,2012,74420.0,247.0,5.0,15.0,97.0,130.0,3684.0,939.0,2438.0,307.0,23.0
Friendswood,2012,36965.0,15.0,0.0,4.0,4.0,7.0,353.0,66.0,274.0,13.0,0.0
Galveston,2012,49170.0,296.0,2.0,37.0,118.0,139.0,2469.0,517.0,1792.0,160.0,12.0
Houston,2012,2177273.0,21610.0,217.0,665.0,9385.0,11343.0,107678.0,26630.0,67978.0,13070.0,754.0
La Porte,2012,35054.0,61.0,1.0,25.0,8.0,27.0,604.0,127.0,439.0,38.0,8.0
League City,2012,86127.0,79.0,0.0,16.0,28.0,35.0,1734.0,299.0,1366.0,69.0,0.0
Missouri City,2012,70819.0,86.0,0.0,8.0,34.0,44.0,879.0,219.0,613.0,47.0,2.0
Pasadena,2012,154562.0,622.0,8.0,52.0,147.0,415.0,5610.0,999.0,4087.0,524.0,39.0
Sugar Land,2012,82924.0,109.0,0.0,4.0,37.0,68.0,1541.0,289.0,1217.0,35.0,3.0
Texas City,2012,46448.0,148.0,2.0,11.0,51.0,84.0,1700.0,355.0,1278.0,67.0,3.0
Baytown,2013,73709.0,285.0,4.0,19.0,126.0,136.0,3653.0,916.0,2373.0,364.0,14.0
Friendswood,2013,37226.0,11.0,0.0,1.0,2.0,8.0,418.0,88.0,313.0,17.0,0.0
Galveston,2013,48067.0,236.0,3.0,56.0,93.0,84.0,2335.0,439.0,1707.0,189.0,6.0
Houston,2013,2180606.0,20993.0,214.0,618.0,9891.0,10270.0,110919.0,23733.0,73591.0,13595.0,708.0
La Porte,2013,34671.0,40.0,0.0,12.0,9.0,19.0,593.0,117.0,433.0,43.0,7.0
League City,2013,89596.0,96.0,2.0,14.0,22.0,58.0,1918.0,386.0,1476.0,56.0,1.0
Missouri City,2013,69487.0,72.0,0.0,5.0,35.0,32.0,1151.0,186.0,889.0,76.0,0.0
Pasadena,2013,153195.0,592.0,3.0,52.0,192.0,345.0,5501.0,1011.0,3980.0,510.0,25.0
Sugar Land,2013,83460.0,108.0,1.0,6.0,35.0,66.0,1613.0,256.0,1311.0,46.0,3.0
Texas City,2013,45793.0,126.0,2.0,0.0,55.0,69.0,1745.0,385.0,1267.0,93.0,3.0
Baytown,2014,76253.0,241.0,5.0,32.0,84.0,120.0,3157.0,638.0,2091.0,428.0,16.0
Friendswood,2014,38012.0,21.0,0.0,11.0,2.0,8.0,329.0,70.0,245.0,14.0,3.0
Galveston,2014,48961.0,256.0,6.0,51.0,105.0,94.0,2054.0,414.0,1447.0,193.0,17.0
Houston,2014,2219933.0,22008.0,242.0,812.0,10186.0,10768.0,104197.0,21629.0,68125.0,14443.0,716.0
La Porte,2014,34852.0,70.0,0.0,29.0,12.0,29.0,584.0,111.0,425.0,48.0,7.0
League City,2014,92790.0,98.0,3.0,30.0,26.0,39.0,1807.0,317.0,1421.0,69.0,0.0
Missouri City,2014,70853.0,126.0,1.0,17.0,35.0,73.0,1162.0,207.0,856.0,99.0,4.0
Pasadena,2014,153540.0,591.0,7.0,93.0,154.0,337.0,4630.0,788.0,3322.0,520.0,16.0
Sugar Land,2014,85055.0,99.0,1.0,6.0,36.0,56.0,1400.0,220.0,1132.0,48.0,2.0
Texas City,2014,46273.0,150.0,2.0,10.0,48.0,90.0,1652.0,271.0,1272.0,109.0,0.0
Baytown,2015,77145.0,233.0,6.0,34.0,81.0,112.0,2876.0,483.0,1967.0,426.0,10.0
Friendswood,2015,38851.0,28.0,1.0,17.0,3.0,7.0,355.0,60.0,277.0,18.0,3.0
Galveston,2015,50065.0,224.0,2.0,61.0,76.0,85.0,1818.0,335.0,1296.0,187.0,15.0
Houston,2015,2275221.0,21994.0,303.0,986.0,10278.0,10427.0,100053.0,19859.0,66634.0,13560.0,671.0
La Porte,2015,35336.0,79.0,0.0,27.0,11.0,41.0,560.0,95.0,402.0,63.0,4.0
League City,2015,97172.0,88.0,1.0,25.0,25.0,37.0,1767.0,240.0,1454.0,73.0,10.0
Missouri City,2015,72879.0,148.0,1.0,25.0,59.0,63.0,1268.0,230.0,930.0,108.0,5.0
Pasadena,2015,154986.0,632.0,2.0,70.0,183.0,377.0,4273.0,724.0,2994.0,555.0,41.0
Sugar Land,2015,88810.0,83.0,1.0,11.0,42.0,29.0,1470.0,206.0,1239.0,25.0,0.0
Texas City,2015,46976.0,186.0,3.0,19.0,61.0,103.0,1458.0,233.0,1142.0,83.0,1.0
Baytown,2016,77224.0,302.0,9.0,25.0,98.0,170.0,2858.0,525.0,1960.0,373.0,7.0
Friendswood,2016,39402.0,27.0,0.0,11.0,6.0,10.0,302.0,36.0,250.0,16.0,0.0
Galveston,2016,50667.0,244.0,6.0,60.0,77.0,101.0,1771.0,331.0,1244.0,196.0,3.0
Houston,2016,2334348.0,23960.0,301.0,1210.0,9962.0,12487.0,100856.0,18488.0,69630.0,12738.0,668.0
La Porte,2016,35410.0,73.0,1.0,11.0,13.0,48.0,602.0,97.0,432.0,73.0,0.0
League City,2016,101436.0,82.0,5.0,35.0,22.0,20.0,1937.0,256.0,1589.0,92.0,10.0
Missouri City,2016,75607.0,144.0,3.0,22.0,56.0,63.0,1263.0,216.0,953.0,94.0,3.0
Pasadena,2016,154648.0,691.0,3.0,105.0,211.0,372.0,4008.0,683.0,2912.0,413.0,20.0
Sugar Land,2016,90088.0,77.0,0.0,16.0,43.0,18.0,1460.0,250.0,1162.0,48.0,1.0
Texas City,2016,48095.0,249.0,2.0,33.0,63.0,151.0,1759.0,324.0,1349.0,86.0,1.0
Baytown,2017,76704.0,288.0,6.0,38.0,108.0,136.0,2678.0,506.0,1846.0,326.0,1.0
Friendswood,2017,39990.0,36.0,0.0,16.0,11.0,9.0,321.0,57.0,247.0,17.0,1.0
Galveston,2017,51021.0,257.0,2.0,63.0,82.0,110.0,1790.0,275.0,1231.0,284.0,3.0
Houston,2017,2338235.0,25609.0,269.0,1366.0,9773.0,14201.0,96532.0,17108.0,67828.0,11596.0,665.0
La Porte,2017,35293.0,103.0,0.0,20.0,16.0,67.0,527.0,77.0,401.0,49.0,3.0
League City,2017,105351.0,97.0,3.0,34.0,18.0,42.0,1718.0,218.0,1407.0,93.0,3.0
Missouri City,2017,75863.0,149.0,2.0,23.0,46.0,78.0,969.0,133.0,767.0,69.0,0.0
Pasadena,2017,154000.0,711.0,5.0,93.0,195.0,418.0,3773.0,636.0,2758.0,379.0,23.0
Sugar Land,2017,89790.0,71.0,0.0,15.0,36.0,20.0,1289.0,158.0,1075.0,56.0,0.0
Texas City,2017,48774.0,237.0,2.0,47.0,46.0,142.0,1704.0,336.0,1245.0,123.0,1.0
Baytown,2018,76704.0,288.0,6.0,38.0,108.0,136.0,2678.0,506.0,1846.0,326.0,1.0
Friendswood,2018,39990.0,36.0,0.0,16.0,11.0,9.0,321.0,57.0,247.0,17.0,1.0
Galveston,2018,51021.0,257.0,2.0,63.0,82.0,110.0,1790.0,275.0,1231.0,284.0,3.0
Houston,2018,2338235.0,25609.0,269.0,1366.0,9773.0,14201.0,96532.0,17108.0,67828.0,11596.0,665.0
La Porte,2018,35293.0,103.0,0.0,20.0,16.0,67.0,527.0,77.0,401.0,49.0,3.0
League City,2018,105351.0,97.0,3.0,34.0,18.0,42.0,1718.0,218.0,1407.0,93.0,3.0
Missouri City,2018,75863.0,149.0,2.0,23.0,46.0,78.0,969.0,133.0,767.0,69.0,0.0
Pasadena,2018,154000.0,711.0,5.0,93.0,195.0,418.0,3773.0,636.0,2758.0,379.0,23.0
Sugar Land,2018,89790.0,71.0,0.0,15.0,36.0,20.0,1289.0,158.0,1075.0,56.0,0.0
Texas City,2018,48774.0,237.0,2.0,47.0,46.0,142.0,1704.0,336.0,1245.0,123.0,1.0
